,coord_lon,coord_lat,weather_id,weather_main,weather_description,weather_icon,base,main_temp,main_pressure,main_humidity,main_temp_min,main_temp_max,wind_speed,wind_deg,clouds_all,sys_type,sys_id,sys_message,sys_country,sys_sunrise,sys_sunset,name
21,-55.48,-2.28,803.0,Clouds,broken clouds,04d,stations,309.717,1007.45,33.0,309.717,309.717,2.64,49.788,83.0,,,0.0063,BR,1570181195.0,1570224877.0,Curuai
22,,,,,,,,,,,,,,,,,,,,,,
23,-49.72,-25.77,800.0,Clear,clear sky,01d,stations,302.16,1017.0,44.0,300.15,304.26,2.1,100.0,0.0,1.0,8346.0,0.0052,BR,1570179334.0,1570223974.0,Lapa
24,-46.24,-23.45,800.0,Clear,clear sky,01d,stations,302.06,1016.0,37.0,298.15,304.15,2.6,210.0,0.0,1.0,8379.0,0.0072,BR,1570178554.0,1570223084.0,Stio Caracol
25,-56.0,-28.66,804.0,Clouds,overcast clouds,04d,stations,296.317,1011.49,84.0,296.317,296.317,2.31,305.731,100.0,,,0.0071,BR,1570180768.0,1570225554.0,Sao Borja
26,-36.32,-5.11,800.0,Clear,clear sky,01d,stations,301.417,1009.58,67.0,301.417,301.417,12.53,71.564,5.0,,,0.0065,BR,1570176546.0,1570220331.0,Guamaré
27,-50.65,-21.25,800.0,Clear,clear sky,01d,stations,310.917,1008.49,19.0,310.917,310.917,0.42,189.44,1.0,,,0.005,BR,1570179662.0,1570224093.0,Guararapes
28,-42.89,-16.56,802.0,Clouds,scattered clouds,03d,stations,301.517,1012.19,39.0,301.517,301.517,3.6,104.129,36.0,,,0.0067,BR,1570177901.0,1570222130.0,Grão Mogol
29,-37.61,-11.81,500.0,Rain,light rain,10d,stations,300.017,1014.47,64.0,300.017,300.017,4.46,105.979,34.0,,,0.0057,BR,1570176729.0,1570220768.0,Conde
30,-8.69,40.51,800.0,Clear,clear sky,01n,stations,291.26,1018.0,80.0,288.15,293.15,1.79,328.0,5.0,3.0,2016210.0,0.006,PT,1570170819.0,1570212800.0,Vigia
31,-49.49,-16.66,800.0,Clear,clear sky,01d,stations,309.15,1012.0,22.0,309.15,309.15,2.6,310.0,0.0,1.0,8372.0,0.0061,BR,1570179482.0,1570223716.0,Trindade
32,-42.84,-5.1,800.0,Clear,clear sky,01d,stations,311.15,1007.0,27.0,311.15,311.15,2.1,170.0,0.0,1.0,8447.0,0.0075,BR,1570178111.0,1570221896.0,Timon
33,-43.94,-4.26,803.0,Clouds,broken clouds,04d,stations,308.917,1007.97,31.0,308.917,308.917,0.81,66.606,61.0,,,0.0064,BR,1570178390.0,1570222144.0,Timbiras
34,-35.12,-8.59,802.0,Clouds,scattered clouds,03d,stations,301.15,1013.0,61.0,301.15,301.15,8.7,150.0,40.0,1.0,8426.0,0.0053,BR,1570176194.0,1570220108.0,Sirinhaem
35,-38.29,-7.99,802.0,Clouds,scattered clouds,03d,stations,306.717,1008.82,23.0,306.717,306.717,4.96,151.189,37.0,,,0.0072,BR,1570176966.0,1570220858.0,Serra Talhada
36,-44.48,-4.04,804.0,Clouds,overcast clouds,04d,stations,309.917,1008.54,35.0,309.917,309.917,0.87,10.778,93.0,,,0.007,BR,1570178524.0,1570222270.0,Sao Mateus do Maranhao
37,-61.14,4.43,802.0,Clouds,scattered clouds,03d,stations,301.317,1009.62,52.0,301.317,301.317,2.58,109.663,49.0,,,0.0055,BR,1570182674.0,1570226115.0,Sao Luis
38,-44.39,-5.58,803.0,Clouds,broken clouds,04d,stations,309.717,1008.27,30.0,309.717,309.717,1.7,54.826,73.0,,,0.0052,BR,1570178474.0,1570222277.0,Sao Domingos do Maranhao
39,-42.55,-3.52,803.0,Clouds,broken clouds,04d,stations,309.217,1007.79,30.0,309.217,309.217,1.98,165.62,59.0,,,0.0067,BR,1570178070.0,1570221797.0,Santa Quiteria do Maranhao
40,-37.25,-9.37,803.0,Clouds,broken clouds,04d,stations,305.017,1011.81,37.0,305.017,305.017,7.38,120.723,71.0,,,0.0066,BR,1570176690.0,1570220634.0,Santana do Ipanema
41,-43.85,-19.77,802.0,Clouds,scattered clouds,03d,stations,300.15,1017.0,36.0,300.15,300.15,2.6,80.0,40.0,1.0,8344.0,0.0081,BR,1570178063.0,1570222428.0,Santa Luzia
42,-51.18,-0.06,802.0,Clouds,scattered clouds,03d,stations,308.15,1010.0,44.0,308.15,308.15,6.2,60.0,40.0,1.0,8415.0,0.0059,BR,1570180204.0,1570223805.0,Santana
43,-37.8,-6.77,802.0,Clouds,scattered clouds,03d,stations,309.817,1008.23,19.0,309.817,309.817,3.87,154.593,36.0,,,0.0062,BR,1570176871.0,1570220717.0,Pombal
44,-41.72,-3.93,803.0,Clouds,broken clouds,04d,stations,309.917,1007.15,26.0,309.917,309.917,1.86,218.871,54.0,,,0.0055,BR,1570177864.0,1570221606.0,Piracuruca
45,-46.01,-1.97,802.0,Clouds,scattered clouds,03d,stations,305.917,1009.33,48.0,305.917,305.917,1.75,76.106,27.0,,,0.0064,BR,1570178929.0,1570222599.0,Jatoba
46,-36.7,-8.36,801.0,Clouds,few clouds,02d,stations,304.617,1011.23,27.0,304.617,304.617,5.31,134.443,14.0,,,0.0054,BR,1570176577.0,1570220483.0,Pesqueira
47,-45.17,-3.29,500.0,Rain,light rain,10d,stations,305.317,1009.1,52.0,305.317,305.317,2.64,64.405,66.0,,,0.007,BR,1570178703.0,1570222422.0,Penalva
48,-39.72,-5.46,801.0,Clouds,few clouds,02d,stations,307.817,1007.92,26.0,307.817,307.817,3.2,109.312,13.0,,,0.0055,BR,1570177356.0,1570221154.0,Pedra Branca
49,-38.23,-9.4,800.0,Clear,clear sky,01d,stations,304.717,1010.69,35.0,304.717,304.717,4.53,116.034,4.0,,,0.0063,BR,1570176924.0,1570220870.0,Paulo Afonso
